,title,price,UPC,product type,price_excl_vat,price_incl_vat,tax,stock,number_of_reviews
87,Online Marketing for Busy Authors: A Step-By-Step Guide,£46.35,UPC9ffa38d3b832433a,Books,£46.35,£46.35,£0.00,16,0
88,On a Midnight Clear,£14.07,UPCb757c0c361e689ce,Books,£14.07,£14.07,£0.00,16,0
89,Obsidian (Lux #1),£14.86,UPC3c346ab1e76ae1f6,Books,£14.86,£14.86,£0.00,16,0
90,My Paris Kitchen: Recipes and Stories,£33.37,UPC784bc2279baa878d,Books,£33.37,£33.37,£0.00,16,0
91,Masks and Shadows,£56.40,UPCfa9610a50a1bf149,Books,£56.40,£56.40,£0.00,16,0
92,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",£14.02,UPC72f9d5be3472d34e,Books,£14.02,£14.02,£0.00,16,0
93,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,UPC460089f796fb3f82,Books,£46.91,£46.91,£0.00,16,0
94,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,UPCb6ee99bcf06fc91f,Books,£45.61,£45.61,£0.00,16,0
95,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,UPC57e5a4d515c8ce44,Books,£19.92,£19.92,£0.00,16,0
96,"Layered: Baking, Building, and Styling Spectacular Cakes",£40.11,UPC7b75cc7f223791f4,Books,£40.11,£40.11,£0.00,16,0
97,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),£53.90,UPC228f74b74f3a08ae,Books,£53.90,£53.90,£0.00,16,0
98,Join,£35.67,UPC18ad3ed896c7ce05,Books,£35.67,£35.67,£0.00,16,0
99,In the Country We Love: My Family Divided,£22.00,UPCb136b1b180ca753a,Books,£22.00,£22.00,£0.00,16,0
100,Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,£57.36,UPCe4f74c16de34d440,Books,£57.36,£57.36,£0.00,16,0
101,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,UPC8d4eefad7a2b3915,Books,£29.17,£29.17,£0.00,16,0
102,I am a Hero Omnibus Volume 1,£54.63,UPC1c89ae5bb804e4de,Books,£54.63,£54.63,£0.00,16,0
103,How to Be Miserable: 40 Strategies You Already Use,£46.03,UPCa6f99b9e687f9d46,Books,£46.03,£46.03,£0.00,16,0
104,Her Backup Boyfriend (The Sorensen Family #1),£33.97,UPC2a97cffe61c3c4c7,Books,£33.97,£33.97,£0.00,16,0
105,"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,UPCf2df3bb043a8abb0,Books,£22.11,£22.11,£0.00,16,0
106,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,£29.69,UPC9beb96a2300109d7,Books,£29.69,£29.69,£0.00,16,0
107,First and First (Five Boroughs #3),£15.97,UPC9e28048cea8d41f7,Books,£15.97,£15.97,£0.00,16,0
108,Fifty Shades Darker (Fifty Shades #2),£21.96,UPC7add3f8e49ec0826,Books,£21.96,£21.96,£0.00,16,0
109,Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,£54.35,UPC311c0dd0e354a33e,Books,£54.35,£54.35,£0.00,16,0
110,"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",£37.97,UPCfce19f9b4a943f22,Books,£37.97,£37.97,£0.00,16,0
111,Danganronpa Volume 1,£51.99,UPC09b6cc87e62c2c58,Books,£51.99,£51.99,£0.00,16,0
112,Crown of Midnight (Throne of Glass #2),£43.29,UPC7267864328ae8b9d,Books,£43.29,£43.29,£0.00,16,0
113,"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,UPC8754c83ab2a7ae71,Books,£36.72,£36.72,£0.00,16,0
114,Camp Midnight,£17.08,UPC7b599c8bfcdd8d30,Books,£17.08,£17.08,£0.00,16,0
115,Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,£29.14,UPCbee3672891cca906,Books,£29.14,£29.14,£0.00,16,0
116,Burning,£28.81,UPC5ceb951f629700a2,Books,£28.81,£28.81,£0.00,16,0
117,Bossypants,£49.46,UPC74baabfc8fd84b38,Books,£49.46,£49.46,£0.00,16,0
118,"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",£37.92,UPCbdf415fd484ea8a7,Books,£37.92,£37.92,£0.00,16,0
119,"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",£28.09,UPC6d5300b2d8f37e07,Books,£28.09,£28.09,£0.00,16,0
120,Algorithms to Live By: The Computer Science of Human Decisions,£30.81,UPC38d45839cb1c83c1,Books,£30.81,£30.81,£0.00,16,0
121,A World of Flavor: Your Gluten Free Passport,£42.95,UPC70ed59f194b3c556,Books,£42.95,£42.95,£0.00,16,0
122,"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",£56.76,UPC8a380641491d43ed,Books,£56.76,£56.76,£0.00,16,0
123,A Murder in Time,£16.64,UPCf733e8c19d40ec2e,Books,£16.64,£16.64,£0.00,16,0
124,A Flight of Arrows (The Pathfinders #2),£55.53,UPC3a6fb983e2554023,Books,£55.53,£55.53,£0.00,16,0
125,A Fierce and Subtle Poison,£28.13,UPC842790dfaa937484,Books,£28.13,£28.13,£0.00,16,0
126,A Court of Thorns and Roses (A Court of Thorns and Roses #1),£52.37,UPC01d2001ac1e6f8a3,Books,£52.37,£52.37,£0.00,16,0
127,(Un)Qualified: How God Uses Broken People to Do Big Things,£54.00,UPCe4ac92d89b946781,Books,£54.00,£54.00,£0.00,16,0
128,You Are What You Love: The Spiritual Power of Habit,£21.87,UPC796c87ddbbaaf8c5,Books,£21.87,£21.87,£0.00,15,0
129,"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",£43.30,UPC9270575728a13a61,Books,£43.30,£43.30,£0.00,15,0
130,Tuesday Nights in 1980,£21.04,UPCb8736690cf263a3c,Books,£21.04,£21.04,£0.00,15,0
131,Tracing Numbers on a Train,£41.60,UPCd7d6d50c1e3d0b81,Books,£41.60,£41.60,£0.00,15,0
132,Throne of Glass (Throne of Glass #1),£35.07,UPC590a9cccf7db9f7d,Books,£35.07,£35.07,£0.00,15,0
133,Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,£59.64,UPCde3f25248ba0789f,Books,£59.64,£59.64,£0.00,15,0
134,Thirteen Reasons Why,£52.72,UPCbc2a85fd35fdc7bd,Books,£52.72,£52.72,£0.00,15,0
135,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,£58.08,UPC37c0cb19713d8dda,Books,£58.08,£58.08,£0.00,15,0
136,The Wedding Dress,£24.12,UPC623e1a180426039b,Books,£24.12,£24.12,£0.00,15,0
137,The Vacationers,£42.15,UPCfd3a622648667296,Books,£42.15,£42.15,£0.00,15,0
138,The Third Wave: An Entrepreneurâs Vision of the Future,£12.61,UPC3bebf34ee9330cbd,Books,£12.61,£12.61,£0.00,15,0
139,The Stranger,£17.44,UPCf5a92cff83897d48,Books,£17.44,£17.44,£0.00,15,0
140,The Shadow Hero (The Shadow Hero),£33.14,UPCd6361d16212664ed,Books,£33.14,£33.14,£0.00,15,0
141,The Secret (The Secret #1),£27.37,UPC961f18db4f138211,Books,£27.37,£27.37,£0.00,15,0
142,The Regional Office Is Under Attack!,£51.36,UPC0651062381f0636a,Books,£51.36,£51.36,£0.00,15,0
143,The Psychopath Test: A Journey Through the Madness Industry,£36.00,UPCe98a4efa85070c2f,Books,£36.00,£36.00,£0.00,15,0
144,The Project,£10.65,UPC790ef197c8f236f5,Books,£10.65,£10.65,£0.00,15,0
145,The Power of Now: A Guide to Spiritual Enlightenment,£43.54,UPC8ec14b1576cb7cb5,Books,£43.54,£43.54,£0.00,15,0
146,The Omnivore's Dilemma: A Natural History of Four Meals,£38.21,UPC209adad1015af86f,Books,£38.21,£38.21,£0.00,15,0
147,The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,£37.34,UPCe4c7f3487d17fd42,Books,£37.34,£37.34,£0.00,15,0
148,The Murder of Roger Ackroyd (Hercule Poirot #4),£44.10,UPCc7b5183f4d1d4efe,Books,£44.10,£44.10,£0.00,15,0
149,The Mistake (Off-Campus #2),£43.29,UPC99ff4cc6491e8f5c,Books,£43.29,£43.29,£0.00,15,0
150,The Matchmaker's Playbook (Wingmen Inc. #1),£55.85,UPC08db62f24627e71f,Books,£55.85,£55.85,£0.00,15,0
151,The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,£37.60,UPCe28e330cbdf01126,Books,£37.60,£37.60,£0.00,15,0
152,The Long Shadow of Small Ghosts: Murder and Memory in an American City,£10.97,UPCabeafe151a587d3b,Books,£10.97,£10.97,£0.00,15,0
153,The Kite Runner,£41.82,UPCeac1a180047ad54e,Books,£41.82,£41.82,£0.00,15,0
154,The House by the Lake,£36.95,UPC9287e238d7c3b06e,Books,£36.95,£36.95,£0.00,15,0
155,The Glittering Court (The Glittering Court #1),£44.28,UPC2dbb7ec08cdd7f3c,Books,£44.28,£44.28,£0.00,15,0
156,The Girl on the Train,£55.02,UPCe956d67c9bcc5809,Books,£55.02,£55.02,£0.00,15,0
157,The Genius of Birds,£17.24,UPC42d0d7c92b75fc1c,Books,£17.24,£17.24,£0.00,15,0
158,The Emerald Mystery,£23.15,UPCd6670dfe3e7b42bd,Books,£23.15,£23.15,£0.00,15,0
159,The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,£41.25,UPC96a38e7c813d8f1d,Books,£41.25,£41.25,£0.00,15,0
160,The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,£32.00,UPCefc3768127714ec3,Books,£32.00,£32.00,£0.00,15,0
161,The Artist's Way: A Spiritual Path to Higher Creativity,£38.49,UPCdd047728de72ad62,Books,£38.49,£38.49,£0.00,15,0
162,The Art of War,£33.34,UPCe7469e22b5bfb3e7,Books,£33.34,£33.34,£0.00,15,0
163,The Argonauts,£10.93,UPCc99761a700ade23f,Books,£10.93,£10.93,£0.00,15,0
164,The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,£27.55,UPC56e4f9eab2e8e674,Books,£27.55,£27.55,£0.00,15,0
165,Suddenly in Love (Lake Haven #1),£55.99,UPC203b7f94b7d6115f,Books,£55.99,£55.99,£0.00,15,0
166,Something More Than This,£16.24,UPCca71e72655bece85,Books,£16.24,£16.24,£0.00,15,0
167,Soft Apocalypse,£26.12,UPC2a70769cdc6eb8b8,Books,£26.12,£26.12,£0.00,15,0
168,So You've Been Publicly Shamed,£12.23,UPC1b33663ad7b95fd8,Books,£12.23,£12.23,£0.00,15,0
169,Shoe Dog: A Memoir by the Creator of NIKE,£23.99,UPC0e0dcc3339602b28,Books,£23.99,£23.99,£0.00,15,0
170,"Shobu Samurai, Project Aryoku (#3)",£29.06,UPC0c27e6c3744fc14b,Books,£29.06,£29.06,£0.00,15,0
171,Secrets and Lace (Fatal Hearts #1),£20.27,UPCad04ad9fc179fc5d,Books,£20.27,£20.27,£0.00,15,0
172,Scarlett Epstein Hates It Here,£43.55,UPC1c929cfd16b71907,Books,£43.55,£43.55,£0.00,15,0
173,Romero and Juliet: A Tragic Tale of Love and Zombies,£36.94,UPCe656e280bc8edd56,Books,£36.94,£36.94,£0.00,15,0
174,Redeeming Love,£20.47,UPCb53db2271c9624f7,Books,£20.47,£20.47,£0.00,15,0
175,Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,£41.06,UPCd9c643fa1fc57bdb,Books,£41.06,£41.06,£0.00,15,0
176,Poems That Make Grown Women Cry,£14.19,UPC31001a1210623bd4,Books,£14.19,£14.19,£0.00,15,0
177,"Nightingale, Sing",£38.28,UPC50b8f80311b31ede,Books,£38.28,£38.28,£0.00,15,0
178,Night Sky with Exit Wounds,£41.05,UPCcfeb1e1e0e695b58,Books,£41.05,£41.05,£0.00,15,0
179,Mrs. Houdini,£30.25,UPCa40723994f715420,Books,£30.25,£30.25,£0.00,15,0
180,Modern Romance,£28.26,UPCcaf4fe9311f1dc59,Books,£28.26,£28.26,£0.00,15,0
181,Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),£10.76,UPCaf96613fdd793a3c,Books,£10.76,£10.76,£0.00,15,0
182,Louisa: The Extraordinary Life of Mrs. Adams,£16.85,UPCd69dd8dac66f9f84,Books,£16.85,£16.85,£0.00,15,0
183,Little Red,£13.47,UPC4aa03792b50f0b22,Books,£13.47,£13.47,£0.00,15,0
184,Library of Souls (Miss Peregrineâs Peculiar Children #3),£48.56,UPCba54932df84e8cea,Books,£48.56,£48.56,£0.00,15,0
185,Large Print Heart of the Pride,£19.15,UPCc1afd71fc86bf682,Books,£19.15,£19.15,£0.00,15,0
186,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,£57.36,UPCfd8585283fc7d2d7,Books,£57.36,£57.36,£0.00,15,0
187,Hollow City (Miss Peregrineâs Peculiar Children #2),£42.98,UPC4ce91d31c1e57c33,Books,£42.98,£42.98,£0.00,15,0
188,Grumbles,£22.16,UPCd163dd6c352fbcd2,Books,£22.16,£22.16,£0.00,15,0
189,Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,£49.43,UPCce60436f52c5ee68,Books,£49.43,£49.43,£0.00,15,0
190,Frostbite (Vampire Academy #2),£29.99,UPC116a2fdc9a45bab0,Books,£29.99,£29.99,£0.00,15,0
191,Follow You Home,£21.36,UPC8585760646e3aa2a,Books,£21.36,£21.36,£0.00,15,0
192,First Steps for New Christians (Print Edition),£29.00,UPC2f88b08bf0a0e367,Books,£29.00,£29.00,£0.00,15,0
193,Finders Keepers (Bill Hodges Trilogy #2),£53.53,UPCedb3097e71330040,Books,£53.53,£53.53,£0.00,15,0
194,"Fables, Vol. 1: Legends in Exile (Fables #1)",£41.62,UPC65d034adf80834b7,Books,£41.62,£41.62,£0.00,15,0
195,Eureka Trivia 6.0,£54.59,UPC29c0025455f8c585,Books,£54.59,£54.59,£0.00,15,0
196,Drive: The Surprising Truth About What Motivates Us,£34.95,UPC6ffb36aaeff1c81e,Books,£34.95,£34.95,£0.00,15,0
197,Done Rubbed Out (Reightman & Bailey #1),£37.72,UPCf6d967cdadc6fbd9,Books,£37.72,£37.72,£0.00,15,0
198,Doing It Over (Most Likely To #1),£35.61,UPC3a11bb962ff45b78,Books,£35.61,£35.61,£0.00,15,0
199,"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",£42.16,UPC46c1530d7546ea6d,Books,£42.16,£42.16,£0.00,15,0
200,Dark Notes,£19.19,UPC88c21fcd38e2486e,Books,£19.19,£19.19,£0.00,15,0
201,"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",£19.43,UPC3b9a3b4624b7fd6d,Books,£19.43,£19.43,£0.00,15,0
202,Close to You,£49.46,UPCa57b1dcbd6849222,Books,£49.46,£49.46,£0.00,15,0
203,Chasing Heaven: What Dying Taught Me About Living,£37.80,UPC513271dadc1322ae,Books,£37.80,£37.80,£0.00,15,0
204,Big Magic: Creative Living Beyond Fear,£30.80,UPC1f329c2e7d7de8bd,Books,£30.80,£30.80,£0.00,15,0
205,Becoming Wise: An Inquiry into the Mystery and Art of Living,£27.43,UPC919e7cb2269a25d2,Books,£27.43,£27.43,£0.00,15,0
206,Beauty Restored (Riley Family Legacy Novellas #3),£11.11,UPC3f69e667a67e54d9,Books,£11.11,£11.11,£0.00,15,0
207,Batman: The Long Halloween (Batman),£36.50,UPC7edc0527cf782e19,Books,£36.50,£36.50,£0.00,15,0
208,Batman: The Dark Knight Returns (Batman),£15.38,UPC47271d8e08b5d31c,Books,£15.38,£15.38,£0.00,15,0
209,Ayumi's Violin,£15.48,UPC05f7c6d9a4e582d3,Books,£15.48,£15.48,£0.00,15,0
210,Anonymous,£46.82,UPCd24b829be2ca81c4,Books,£46.82,£46.82,£0.00,15,0
211,Amy Meets the Saints and Sages,£18.46,UPC7ebfa6c1bee69e1e,Books,£18.46,£18.46,£0.00,15,0
